Training: loss = 919.92079 | Val: loss = 891.24827
Training: loss = 675.27864 | Val: loss = 872.57894
Training: loss = 516.11932 | Val: loss = 851.72285
Training: loss = 379.69630 | Val: loss = 828.56920
Training: loss = 289.31593 | Val: loss = 808.46048
Training: loss = 222.73800 | Val: loss = 793.05147
Training: loss = 188.81457 | Val: loss = 782.24895
Training: loss = 159.24757 | Val: loss = 771.78432
Training: loss = 157.07375 | Val: loss = 767.82520
Training: loss = 146.23962 | Val: loss = 765.74812
Training: loss = 162.55231 | Val: loss = 763.95518
Training: loss = 146.93602 | Val: loss = 760.21159
Training: loss = 137.52168 | Val: loss = 756.41180
Training: loss = 141.89298 | Val: loss = 753.74571
Training: loss = 129.98746 | Val: loss = 751.66340
Training: loss = 146.26215 | Val: loss = 752.40505
Training: loss = 133.42022 | Val: loss = 750.23141
Training: loss = 134.77638 | Val: loss = 749.30099
Training: loss = 124.93247 | Val: loss = 746.80250
Training: loss = 139.87536 | Val: loss = 748.88883
Training: loss = 136.16143 | Val: loss = 747.74757
Training: loss = 118.27921 | Val: loss = 745.67235
Training: loss = 121.65580 | Val: loss = 744.22856
Training: loss = 127.87383 | Val: loss = 740.88377
Training: loss = 121.10931 | Val: loss = 737.90787
Training: loss = 131.75731 | Val: loss = 738.00211
Training: loss = 123.58143 | Val: loss = 736.10866
Training: loss = 123.52565 | Val: loss = 733.68359
Training: loss = 121.11427 | Val: loss = 730.71403
Training: loss = 122.44648 | Val: loss = 730.15537
Training: loss = 120.14827 | Val: loss = 726.56227
Training: loss = 107.31170 | Val: loss = 723.15787
Training: loss = 117.60216 | Val: loss = 723.76708
Training: loss = 110.86038 | Val: loss = 721.80041
Training: loss = 114.01462 | Val: loss = 721.31592
Training: loss = 110.24699 | Val: loss = 719.22902
Training: loss = 111.92899 | Val: loss = 719.90237
Training: loss = 118.89328 | Val: loss = 722.88449
Training: loss = 107.21111 | Val: loss = 717.09301
Training: loss = 101.98042 | Val: loss = 715.19469
Training: loss = 96.75428 | Val: loss = 712.71571
Training: loss = 111.29276 | Val: loss = 711.85480
Training: loss = 105.99218 | Val: loss = 711.22396
Training: loss = 108.64525 | Val: loss = 709.12202
Training: loss = 105.41286 | Val: loss = 709.12915
Training: loss = 101.95756 | Val: loss = 706.36746
Training: loss = 109.04495 | Val: loss = 706.55414
Training: loss = 102.96113 | Val: loss = 702.40993
Training: loss = 97.72334 | Val: loss = 700.21711
Training: loss = 97.26240 | Val: loss = 699.55723
Training: loss = 110.61955 | Val: loss = 701.59418
Training: loss = 92.53473 | Val: loss = 696.41952
Training: loss = 96.99382 | Val: loss = 694.64591
Training: loss = 106.33122 | Val: loss = 696.54391
Training: loss = 104.63582 | Val: loss = 695.01519
Training: loss = 97.28630 | Val: loss = 694.35525
Training: loss = 98.02972 | Val: loss = 693.74872
Training: loss = 89.18533 | Val: loss = 689.26657
Training: loss = 100.23168 | Val: loss = 688.07399
Training: loss = 94.95655 | Val: loss = 686.91628
Training: loss = 96.38095 | Val: loss = 685.27523
Training: loss = 93.81872 | Val: loss = 684.30068
Training: loss = 97.04099 | Val: loss = 682.61393
Training: loss = 94.83254 | Val: loss = 680.80808
Training: loss = 97.34591 | Val: loss = 679.19805
Training: loss = 94.64531 | Val: loss = 679.58587
Training: loss = 99.82414 | Val: loss = 679.08823
Training: loss = 98.73956 | Val: loss = 676.85414
Training: loss = 97.31735 | Val: loss = 674.04629
Training: loss = 99.61540 | Val: loss = 672.68476
Training: loss = 93.50763 | Val: loss = 672.57087
Training: loss = 88.34253 | Val: loss = 668.42064
Training: loss = 88.32445 | Val: loss = 665.71206
Training: loss = 87.41134 | Val: loss = 663.34753
Training: loss = 92.68506 | Val: loss = 663.66282
Training: loss = 91.61128 | Val: loss = 662.31805
Training: loss = 93.16198 | Val: loss = 659.60170
Training: loss = 95.16271 | Val: loss = 662.22407
Training: loss = 97.54378 | Val: loss = 662.31852
